,AAL,AAPL,AMZN,AT&T,BAC,BBD,BCS,EVA,Ford,GOOGL,INND,INTC,MARA,META,MSFT,NVDA,RIG,Samsung,SWN,TSLA
AAL,0.01658939443181199,0.005205640708790348,0.003750815075596616,0.004101720371058506,0.008157433011224586,0.005705796522515778,0.008840918458468773,0.004829691051190611,0.008598292645974432,0.003996234363830591,0.08942767220921932,0.006622642213884257,0.020309568669330126,0.004040205100450603,0.003623331554610699,0.005259208758739233,0.019964605514298992,0.004978486877920772,0.008612143042506662,0.009495173996940352
AAPL,0.005205640708790348,0.00938758731037847,0.006401783021287211,0.0020852963403349832,0.004611917778910281,0.0017284753378293187,0.004078925119215496,0.005403855647509773,0.006065038956178128,0.00453696654186648,0.008233636061406226,0.003411783698265415,0.018226966666570383,0.005704515426949564,0.004354857656081146,0.009841114389215285,0.009495156818422595,0.0038061858428754475,0.005763381084427947,0.01383162104251477
AMZN,0.003750815075596616,0.006401783021287211,0.009855549377807953,0.0004626194042630336,0.00407674752530692,0.0008201764489681945,0.0024865860622495387,0.004977298965508683,0.00449691741391811,0.005040206232478421,0.007797977715525649,0.002981183569987407,0.017548800513254702,0.006324774866430163,0.00513888420856828,0.010291883729708188,0.00656306834003164,0.003197191286536356,0.0058609761007412916,0.012809445825431419
AT&T,0.004101720371058506,0.0020852963403349832,0.0004626194042630336,0.004011496629128063,0.0031704300558799987,0.002255322381948732,0.003993126460322617,0.0013294205382622453,0.0022953254030145098,0.0018668796235563568,-0.003205594321885366,0.002058249576281993,0.0009882548668561002,0.0018044384966442403,0.0012550432159841541,0.0011481859843123184,0.007538487484472607,0.001965233863551564,0.0034966566377044213,0.0024039537766416337
BAC,0.008157433011224586,0.004611917778910281,0.00407674752530692,0.0031704300558799987,0.008112808125852642,0.004920677076655887,0.008441648258137688,0.004373492037285007,0.007412777611502596,0.0045659914061349505,0.01029393164645363,0.0037419740554589156,0.02057092190103483,0.00452724910144846,0.003366688491393755,0.006045654568839175,0.014424422284225715,0.004081805263992641,0.006618468913136625,0.00861260756229678
BBD,0.005705796522515778,0.0017284753378293187,0.0008201764489681945,0.002255322381948732,0.004920677076655887,0.01942997334337311,0.00677431356389728,0.0016352083302032974,0.004279680658889058,0.0015547009238069715,-0.046311955948905685,0.0010427441976960518,0.014842829781453806,0.0023914935735603222,0.000498556282346752,-0.0007623284164158234,0.01784562851372871,0.0029926790241499982,0.0037827962068045138,0.003585015174845249
BCS,0.008840918458468773,0.004078925119215496,0.0024865860622495387,0.003993126460322617,0.008441648258137688,0.00677431356389728,0.013007186634913046,0.004538516691395421,0.007931929730206963,0.004893377138328007,-0.003964662331070494,0.004598345454552613,0.017038142101676236,0.005863055392411677,0.002949208459069127,0.004855116760697476,0.01770600029148112,0.003885295604145358,0.009377400657886361,0.00785359483325458
EVA,0.004829691051190611,0.005403855647509773,0.004977298965508683,0.0013294205382622453,0.004373492037285007,0.0016352083302032974,0.004538516691395421,0.008055089494462655,0.0065912337048327175,0.004171351894356676,0.059821956901831265,0.0027438070114628945,0.01618304658104149,0.005033380609267419,0.0037838850662351153,0.007064045496191354,0.008233587313835982,0.0029265561116931967,0.008096232056048404,0.010911540166999563
Ford,0.008598292645974432,0.006065038956178128,0.00449691741391811,0.0022953254030145098,0.007412777611502596,0.004279680658889058,0.007931929730206963,0.0065912337048327175,0.01546578471509337,0.0049667159292889835,0.1289207944400893,0.004411825494994368,0.03143688471159434,0.005439006346873094,0.004097478414019213,0.00740558114846399,0.01780392151523401,0.004703303745013858,0.009359869610474135,0.010242266274988816
GOOGL,0.003996234363830591,0.00453696654186648,0.005040206232478421,0.0018668796235563568,0.0045659914061349505,0.0015547009238069715,0.004893377138328007,0.004171351894356676,0.0049667159292889835,0.005823246550456962,0.036018477625098216,0.0029461789581339153,0.012173514216011894,0.00537355728016705,0.003931538572449194,0.0068618888072412496,0.007024942659893758,0.002109935014231487,0.0042981265496846565,0.009307219609665449
INND,0.08942767220921932,0.008233636061406226,0.007797977715525649,-0.003205594321885366,0.01029393164645363,-0.046311955948905685,-0.003964662331070494,0.059821956901831265,0.1289207944400893,0.036018477625098216,13.486576483071284,0.06579024181873536,0.5032959365125583,-0.010691775662545875,0.0290032012956131,0.00016170625534196056,0.22044109920669416,-0.001810859753667611,0.1241158009317882,0.03153219711140995
INTC,0.006622642213884257,0.003411783698265415,0.002981183569987407,0.002058249576281993,0.0037419740554589156,0.0010427441976960518,0.004598345454552613,0.0027438070114628945,0.004411825494994368,0.0029461789581339153,0.06579024181873536,0.006790480188866345,0.007040821244171669,0.0032229291652452275,0.002813210371450186,0.005309741720943363,0.008462742924637221,0.0028562726380007295,0.006260115369169199,0.006635231006051291
MARA,0.020309568669330126,0.018226966666570383,0.017548800513254702,0.0009882548668561002,0.02057092190103483,0.014842829781453806,0.017038142101676236,0.01618304658104149,0.03143688471159434,0.012173514216011894,0.5032959365125583,0.007040821244171669,0.23287076977888269,0.007235136068423724,0.012576238000744921,0.02048539095754374,0.07946986030837308,0.01649192444601031,0.011634328312653788,0.04350747231833949
META,0.004040205100450603,0.005704515426949564,0.006324774866430163,0.0018044384966442403,0.00452724910144846,0.0023914935735603222,0.005863055392411677,0.005033380609267419,0.005439006346873094,0.00537355728016705,-0.010691775662545875,0.0032229291652452275,0.007235136068423724,0.013324786972041019,0.004585465841317676,0.007929559768545055,0.006901628822553473,0.0027272457301917735,0.00669277728472446,0.009806218677355072
MSFT,0.003623331554610699,0.004354857656081146,0.00513888420856828,0.0012550432159841541,0.003366688491393755,0.000498556282346752,0.002949208459069127,0.0037838850662351153,0.004097478414019213,0.003931538572449194,0.0290032012956131,0.002813210371450186,0.012576238000744921,0.004585465841317676,0.004384436978683937,0.006661227735560967,0.006281761434837029,0.0020964990849242147,0.002349193696438814,0.008274325577716676
NVDA,0.005259208758739233,0.009841114389215285,0.010291883729708188,0.0011481859843123184,0.006045654568839175,-0.0007623284164158234,0.004855116760697476,0.007064045496191354,0.00740558114846399,0.0068618888072412496,0.00016170625534196056,0.005309741720943363,0.02048539095754374,0.007929559768545055,0.006661227735560967,0.02096209174067912,0.009595019135645574,0.004249765966041828,0.00591846039741603,0.014958391892952175
RIG,0.019964605514298992,0.009495156818422595,0.00656306834003164,0.007538487484472607,0.014424422284225715,0.01784562851372871,0.01770600029148112,0.008233587313835982,0.01780392151523401,0.007024942659893758,0.22044109920669416,0.008462742924637221,0.07946986030837308,0.006901628822553473,0.006281761434837029,0.009595019135645574,0.08632003005565583,0.011367920847146823,0.02108583789452015,0.016419701873224606
Samsung,0.004978486877920772,0.0038061858428754475,0.003197191286536356,0.001965233863551564,0.004081805263992641,0.0029926790241499982,0.003885295604145358,0.0029265561116931967,0.004703303745013858,0.002109935014231487,-0.001810859753667611,0.0028562726380007295,0.01649192444601031,0.0027272457301917735,0.0020964990849242147,0.004249765966041828,0.011367920847146823,0.005510752163721753,0.00503613835931151,0.005939341138083061
SWN,0.008612143042506662,0.005763381084427947,0.0058609761007412916,0.0034966566377044213,0.006618468913136625,0.0037827962068045138,0.009377400657886361,0.008096232056048404,0.009359869610474135,0.0042981265496846565,0.1241158009317882,0.006260115369169199,0.011634328312653788,0.00669277728472446,0.002349193696438814,0.00591846039741603,0.02108583789452015,0.00503613835931151,0.041498984709825354,0.010454093784672028
TSLA,0.009495173996940352,0.01383162104251477,0.012809445825431419,0.0024039537766416337,0.00861260756229678,0.003585015174845249,0.00785359483325458,0.010911540166999563,0.010242266274988816,0.009307219609665449,0.03153219711140995,0.006635231006051291,0.04350747231833949,0.009806218677355072,0.008274325577716676,0.014958391892952175,0.016419701873224606,0.005939341138083061,0.010454093784672028,0.04531499625692393
